number,status,sk_description,supplier_number,supplier_description,minimum_po_quantity,purchase_unit,stock_unit,pur_stk_conversion,price_per_stock_unit,price_per_purchase_unit,supplier_id
1743,Active,Pkt Cream Cheese Spread,70961,,50,CS,EA,100,0.21,21,108
1747,Active,Chicken Breast Fillet,40284,Chicken Breast Fillet,0,CS,EA,100,0.72,72,114
1747,Active,Chicken Breast Fillet,462910,,10,CS,EA,100,0.72,72,108
1748,Obsolete,Mayonnaise Chipotle Monarch,255971,,10,CS,OZ,256,0.1072,27.4432,108
1749,Active,Bacon Round Fully Cooked,10954,Bacon Round Fully Cooked,0,CS,EA,144,0.2944,42.3936,46
1749,Active,Bacon Round Fully Cooked,1402957,Hormel Bacon Round fully ckd,0,CS,EA,144,0.2944,42.3936,1
1750,Obsolete,Muffin English Original 80T,5,Muffin English Original 80Tray,60,CS,EA,80,2,160,115
1750,Obsolete,Muffin English Original 80T,379516,,1,CS,EA,10,2,20,108
1751,Obsolete,Peppers and Onions,673349,,1,CS,OZ,240,0.1996,47.904,108
1752,Obsolete,Muffin English Original 80T,94024,Muffin English Original 80Tray,60,CS,EA,80,0.1965,15.72,58
1753,Active,Mustard Yellow Prepared,4006797,Mustard Prepared Salad 4-1gl,0,CS,OZ,512,0.0257,13.1584,1
1755,Active,Sleeve 18 Polyethyene,RAD64055334,1-1000 EA 18 poly sleeve,0,CS,EA,1000,0,0,100
1756,Active,Dust Mask Ear Loop,CD 139-20,Dust Mask Ear Loop,0,CS,EA,1000,0,0,100
1757,Obsolete,Muffin English Multigrain 80T,94022,Muffin English Multigrain 80T,1,CS,EA,80,0.2228,17.824,58
1760,Active,Salami Dry Sliced Galileo,345498,Salami Dry Sliced Galileo,1,CS,LB,16,4.375,70,108
1760,Active,Salami Dry Sliced Galileo,30708,Salami Dry Sliced Galileo,0,CS,LB,16,4.375,70,114
1764,Obsolete,Basil Dry Jar,203845,,1,JAR,OZ,5.5,0.8455,4.65025,108
1765,Active,Oil Canola,9457,Canola Oil Stratus 35 Lb,0,CS,OZ,560,0.0554,31.024,114
1769,Obsolete,Spinach Stemless Cello FrshCut,202221,4-2.5 lb,10,CS,OZ,160,0.1369,21.904,108
1770,Active,Cheese Swiss Processed .5 Oz,2258,Cheese Swiss Processed .5 Oz,1,CS,EA,640,0.0681,43.584,9
1771,Obsolete,Bacon Turkey Half Slice,870906,Bacon Turkey Half Slice,306,LB,LB,1,10.44,10.44,21
1772,Active,Bologna Unsliced Farmland,65835,Bologna Farmland 821070,10,LB,LB,1,1.56,1.56,113
1772,Active,Bologna Unsliced Farmland,821070,Bologna Unslicd Farmland 82107,0,LB,LB,1,1.56,1.56,114
1774,Obsolete,Onion Yellow Sliced,47029,Onion Yellow Sliced,1,CS,OZ,320,0.0789,25.248,108
1775,Active,Apron Polethylene 24x 42 1ML,RAD64056547,Apron Polyethylene 24 x 42 ,0,CS,EA,1,0,0,100
1776,Obsolete,Beef Roast Cooked Medium,345012,,20,LB,LB,1,3.29,3.29,108
1777,Obsolete,Salt Garlic,208042,,1,CS,OZ,176,0.123,21.648,108
1779,Active,Recorder Temperature Pallet,TRIX 8,1-1 EA,0,CS,EA,1,0,0,116
1780,Active,Film Tiro Chix Sal Inderbitzin,154002-CS NWMF,Film Tiro Chix Salad Mrkt Frsh,1,RL,EA,15600,0.0452,705.12,20
1781,Active,Film Tiro Egg Salad 16.34in,154002-ES Mrkt Frsh,Film Tiro Egg Salad Mrkt Frsh,1,RL,EA,15600,0.0452,705.12,20
1782,Active,Film Tiro Ham Turkey Swiss ,154002-HTS Mrkt Frsh,Film Tiro Ham Turkey Sws NWMF,1,RL,EA,15600,0.0452,705.12,20
1783,Active,Film Tiro Tuna Salad 16.34 in,154002-TS Mrkt Frsh,Film Tiro Tuna Salad NWMF,1,RL,EA,15600,0.0452,705.12,20
1784,Active,Film Tiro Ham   Cheese 16.34in,154002-HC Mrkt Frsh,Film Tiro Ham Chs Mrkt Fresh,1,RL,EA,15600,0.0452,705.12,20
1786,Active,Film Tiro Turkey   Cheese,154002-TC Mrkt Frsh,Film Tiro Turk Chs Mrkt Fresh,1,RL,EA,15600,0.0452,705.12,20
1790,Active,Spread Cream Cheese Salsa,7578,Spread Cream Cheese Salsa,1,CS,OZ,480,0.1159,55.632,9
1792,Obsolete,Rectangle SKFG Logo 3.625 x3,P2069358100-034,1-100 EA,10,RL,EA,1000,0.0193,19.3,25
1795,Obsolete,Cheese Cheddar Medium .75 Oz,3787,Cheddar .75 Oz Sliced 12-1 lb,108,CS,EA,264,0.1003,26.4792,9
1796,Active,Bagel Plain NY Style,PLAINBGL-60C,,144,CS,EA,60,0.4228,25.368,117
1797,Active,Pkt Mustard Yellow Heinz .2 OZ,33558,Pkt Mustard Yellow Heinz .2 OZ,0,CS,EA,500,0.0243,12.15,114
1797,Active,Pkt Mustard Yellow Heinz .2 OZ,342429,Pkt Mustard Yellow Heinz .2oz,0,CS,EA,500,0.0243,12.15,42
