number,description,category,status,case_pack,case_weight,case_weight_unit,usda_bug_required,purchase_to_stock_conversion,purchase_unit,stock_unit,customer_id,supplier_id
86603,Beef Hot Dog Twin Pack 8/2pk,FG,Active,8,3.5,LBS,No,1,CS,CS,NFSI,
86604,Jumbo Beef Hot Dog 12/cs,FG,Active,12,3.15,LBS,No,1,CS,CS,MCLN,
86605,Jumbo Beef Spicy Dog 12/cs,FG,Active,12,3.83,LBS,No,1,CS,CS,MCLN,
87000,Ham Chs Fritt Apple Sqsh 24/cs,FG,Obsolete,30,5.75,LBS,Yes,1,CS,CS,AIRFAYRE,
87001,Ham Chs Fritt Potato Asp 24/cs,FG,Obsolete,30,5.75,LBS,Yes,1,CS,CS,AIRFAYRE,
87200,Sausage, Egg Chs Crois 12pk,FG,Active,12,3.95,LBS,No,1,CS,CS,UWG,
87203,Angus Cheeseburger 12/cs,FG,Active,12,6.135,LBS,No,1,CS,CS,UWG,
87204,Angus Bacon Cheeseburger 12/cs,FG,Active,12,6.315,LBS,No,1,CS,CS,UWG,
87500,Bacon, Egg,Chs Bisc 12/2x2pk,FG,Active,12,11.32,LBS,No,1,CS,CS,PWA,
87501,Sausage, Egg,Chs Bisc 12/2x2pk,FG,Active,12,14.32,LBS,No,1,CS,CS,PWA,
87502,Sausage, Egg,Chs Muff 12/2x2pk,FG,Active,12,14.32,LBS,No,1,CS,CS,PWA,
87503,Sausage, Egg,Chs Croi 12/2x2pk,FG,Active,12,14.32,LBS,No,1,CS,CS,PWA,
87504,Ham, Egg, Chs Muff 12/2x2pk,FG,Active,12,13.42,LBS,No,1,CS,CS,PWA,
87505,Bcn,Egg,Pot,Chs Bowl 8oz-8/cs,FG,Active,8,4.52,LBS,No,1,CS,CS,PWA,
87506,Sg,Egg,Pot,Chs Bwl 8.6oz-8/cs,FG,Active,8,4.82,LBS,No,1,CS,CS,PWA,
87507,Hm,Egg,Pot,Chs Bwl 8oz - 8/cs,FG,Active,8,4.52,LBS,No,1,CS,CS,PWA,
87600,Angus Burger 12/cs,FG,Active,12,5.64,LBS,No,1,CS,CS,CUMBP,
87601,Angus Cheeseburger 12/cs,FG,Active,12,6.28,LBS,No,1,CS,CS,CUMBP,
87602,Angus Bacon Cheeseburger 12/cs,FG,Active,12,6.46,LBS,No,1,CS,CS,CUMBP,
87700,Saus, Egg & Chs Bisc 8/1x4pk,FG,Active,8,9.85,LBS,No,1,CS,CS,CSWG,
87701,Bacon, Egg & Chs Bisc 8/1x4pk,FG,Active,8,9.85,LBS,No,1,CS,CS,CSWG,
87702,Saus, Egg & Chs Crois 8/1x4pk,FG,Active,8,9.85,LBS,No,1,CS,CS,CSWG,
87703,Trky, Egg & Chs Muff 8/1x4pk,FG,Active,8,10.91,LBS,No,1,CS,CS,CSWG,
87800,Saus, Egg & Chs Bisc 8/1x4pk,FG,Active,8,9.85,LBS,No,1,CS,CS,WMK,
87801,Bacon, Egg & Chs Bisc 8/1x4pk,FG,Active,8,7.85,LBS,No,1,CS,CS,WMK,
87802,Saus, Egg & Chs Crois 8/1x4pk,FG,Active,8,9.85,LBS,No,1,CS,CS,WMK,
87803,Saus, Egg & Chs Muff 8/1x4pk,FG,Active,8,9.85,LBS,No,1,CS,CS,WMK,
123602,OP Chcken Salad Tpl Wdge 16/cs,FG,Active,16,7.1,LBS,No,1,CS,CS,GREATLAND,
123604,Egg Salad Triple Wedge 16/cs,FG,Active,16,7.1,LBS,No,1,CS,CS,GREATLAND,
123606,Ham Cheese Triple Wedge 16/cs,FG,Active,16,7.1,LBS,No,1,CS,CS,GREATLAND,
123608,OP King Sub Trkey & Chse 15/cs,FG,Active,15,7.1,LBS,No,1,CS,CS,GREATLAND,
123609,OP King Sub Ham & Cheese 15/cs,FG,Active,15,7.1,LBS,No,1,CS,CS,GREATLAND,
125004,Pepperoni Baguetta 24/cs,FG,Active,24,8.6,LBS,Yes,1,CS,CS,MCLN,
11019030,Sample Chicken Wrap 32/cs ,FG,Active,32,14.02,LBS,No,1,CS,CS,AJGOSS,
11020154,RstdTom&Mozz Panini 24/cs ,FG,Active,24,9.35,LBS,No,1,CS,CS,AJGOSS,
11020155,Ham & Swiss Panini 24/cs ,FG,Active,24,9.7,LBS,No,1,CS,CS,AJGOSS,
11020156,Tuna Melt Panini 24/cs ,FG,Active,24,10.5,LBS,No,1,CS,CS,AJGOSS,
19131,Vegan Burger 20/cs,FG,Obsolete,20,8.8,LBS,No,1,CS,CS,DSI,
19137,Cheeseburger Angus 20/cs,FG,Active,20,9.2,LBS,No,1,CS,CS,AMT836,
19151,Hebrew National Hot Dog 20/cs,FG,Active,20,7.1,LBS,No,1,CS,CS,AMT836,
19152,Plain Bagel Cream Cheese 24/cs,FG,Active,24,6.9,LBS,No,1,CS,CS,AMT836,
19154,Italian Hoagie 20/cs,FG,Obsolete,20,10.6,LBS,No,1,CS,CS,DSI,
19156,Ham & Swiss Wheat Ciab 20/cs,FG,Active,20,9.8,LBS,No,1,CS,CS,AMT836,
19157,Sausage Egg & Cheese Muf 20/cs,FG,Active,20,6.55,LBS,No,1,CS,CS,AMT836,
19158,Chick Brst Wht Kais BBQ 20/cs,FG,Active,20,8.6,LBS,No,1,CS,CS,DSI,
19159,Teriyaki Chicken Bowl 24/cs,FG,Obsolete,24,15.3,LBS,Yes,1,CS,CS,DSI,
19163,Buffalo Chicken Wings 18/cs,FG,Active,18,6.12,LBS,Yes,1,CS,CS,AMT836,
19164,Pulled Pork Sandwich 20/cs,FG,Active,20,7.06,LBS,No,1,CS,CS,AMT836,
19165,Vegan Burger w/BBQ 20/cs,FG,Active,20,8.43,LBS,No,1,CS,CS,AMT836,
19170,Vienna Beef Hot Dog 20/cs,FG,Active,20,7.375,LBS,No,1,CS,CS,DSI,
19233,Turkey & Swiss Hoagie 20/cs,FG,Active,20,11,LBS,No,1,CS,CS,AMT836,
19305,Cheese Spinach Omelette 12/cs,FG,Obsolete,12,6.2,LBS,No,1,CS,CS,ATLANTICFD,
19309,Sausage Egg & Cheddar 12/cs,FG,Obsolete,12,6.6,LBS,No,1,CS,CS,ATLANTICFD,
19313,SS Smoked Turkey Havarti 12/cs,FG,Obsolete,12,4.8,LBS,No,1,CS,CS,ATLANTICFD,
